# LEGEND: Time_ms	 Pitch	 Roll	 yaw	 sonar_x	 sonar_y	 sonar_z
0	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
100	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
200	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
500	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
600	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
700	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
800	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
900	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
1000	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
1100	 0.01	 0.13	 0.00	 0.00	 0.00	 0.00
1200	 0.02	 0.11	 0.00	 0.00	 0.00	 0.00
1300	 0.03	 0.09	 0.00	 0.00	 0.00	 0.00
1400	 0.04	 0.07	 0.01	 0.00	 0.00	 0.00
1500	 0.04	 0.06	 0.01	 0.00	 0.00	 0.00
1600	 0.05	 0.05	 0.01	 0.00	 0.00	 0.00
1700	 0.05	 0.04	 0.01	 0.00	 0.00	 0.00
1800	 0.05	 0.03	 0.01	 0.00	 0.00	 0.00
1900	 0.06	 0.02	 0.01	 0.00	 0.00	 0.00
2000	 0.06	 0.01	 0.01	 0.00	 0.00	 0.00
2100	 0.06	 0.01	 0.01	 0.00	 0.00	 0.00
2200	 0.06	 0.01	 0.01	 0.00	 0.00	 0.00
2300	 0.06	 0.00	 0.02	 0.00	 0.00	 0.00
2400	 0.06	 0.00	 0.02	 0.00	 0.00	 0.00
2500	 0.06	 -0.00	 0.02	 0.00	 0.00	 0.00
2600	 0.06	 -0.00	 0.02	 0.00	 0.00	 0.00
2700	 0.07	 -0.01	 0.02	 0.00	 0.00	 0.00
2800	 0.07	 -0.01	 0.02	 0.00	 0.00	 0.00
2900	 0.07	 -0.01	 0.02	 0.00	 0.00	 0.00
3000	 0.07	 -0.01	 0.02	 0.00	 0.00	 0.00
3100	 0.07	 -0.01	 0.02	 0.00	 0.00	 0.00
3200	 0.07	 -0.01	 0.02	 0.00	 0.00	 0.00
3300	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
3400	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
3500	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
3600	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
3700	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
3800	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
3900	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
4000	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
4100	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
4200	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
4300	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
4400	 0.07	 -0.01	 0.03	 0.00	 0.00	 0.00
4500	 0.07	 -0.01	 0.04	 0.00	 0.00	 0.00
4600	 0.07	 -0.01	 0.04	 0.00	 0.00	 0.00
4700	 0.07	 -0.02	 0.04	 0.00	 0.00	 0.00
4800	 0.07	 -0.02	 0.04	 0.00	 0.00	 0.00
4900	 0.07	 -0.02	 0.04	 0.00	 0.00	 0.00
5000	 0.07	 -0.02	 0.04	 0.00	 0.00	 0.00
5100	 0.07	 -0.02	 0.04	 0.00	 0.00	 0.00
5200	 0.07	 -0.02	 0.04	 0.00	 0.00	 0.00
5300	 0.07	 -0.02	 0.04	 0.00	 0.00	 0.00
5400	 0.06	 -0.02	 0.04	 0.00	 0.00	 0.00
5500	 0.06	 -0.02	 0.04	 0.00	 0.00	 0.00
5600	 0.06	 -0.02	 0.04	 0.00	 0.00	 0.00
5700	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
5800	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
5900	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
6000	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
6100	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
6200	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
6300	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
6400	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
6500	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
6600	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
6700	 0.06	 -0.02	 0.05	 0.00	 0.00	 0.00
6800	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
6900	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7000	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7100	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7200	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7300	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7400	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7500	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7600	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7700	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7800	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
7900	 0.06	 -0.02	 0.06	 0.00	 0.00	 0.00
8000	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
8100	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
8200	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
8300	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
8400	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
8500	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
8600	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
8700	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
8800	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
8900	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
9000	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
9100	 0.06	 -0.02	 0.07	 0.00	 0.00	 0.00
9200	 0.06	 -0.02	 0.08	 0.00	 0.00	 0.00
9300	 0.06	 -0.02	 0.08	 0.00	 0.00	 0.00
9400	 0.06	 -0.02	 0.08	 0.00	 0.00	 0.00
9500	 0.06	 -0.02	 0.08	 0.00	 0.00	 0.00
9600	 0.06	 -0.02	 0.08	 0.00	 0.00	 0.00
9700	 0.06	 -0.02	 0.08	 0.00	 0.00	 0.00
9800	 0.06	 -0.02	 0.08	 0.00	 0.00	 0.00
9900	 0.06	 -0.02	 0.08	 0.00	 0.00	 0.00
